"NDC","YEAR","MONTH"
"0220-1267-41",1983,3
"0220-1277-41",1983,3
"0220-1281-41",1983,3
"0220-1325-41",1983,3
"0220-1385-41",1983,3
"0220-1389-41",1983,3
"0220-1393-41",1983,3
"0220-1458-41",1983,3
"0220-1475-41",1983,3
"0220-1488-41",1983,3
"0220-1492-41",1983,3
"0220-1496-41",1983,3
"0220-1525-41",1983,3
"0220-1613-41",1983,3
"0220-1767-41",1983,3
"0220-1791-41",1983,3
"0220-1799-41",1983,3
"0220-1852-41",1983,3
"0220-1967-41",1983,3
"0220-1988-41",1983,3
"0220-2097-41",1983,3
"0220-2133-41",1983,3
"0220-2235-41",1983,3
"0220-2247-41",1983,3
"0220-2293-41",1983,3
"0220-2325-41",1983,3
"0220-2353-41",1983,3
"0220-2414-41",1983,3
"0220-2428-41",1983,3
"0220-2448-41",1983,3
"0220-2464-41",1983,3
"0220-2488-43",2016,3
"0220-2522-41",1983,3
"0220-2542-41",1983,3
"0220-2546-41",1983,3
"0220-2613-41",1983,3
"0220-2651-31",1983,3
"0220-2651-41",1983,3
"0220-2659-41",1983,3
"0220-2667-41",1983,3
"0220-2692-41",1983,3
"0220-2854-41",1983,3
"0220-2863-41",1983,3
"0220-2887-41",1983,3
"0220-2891-41",1983,3
"0220-2908-41",1983,3
"0220-2908-43",2017,5
"0220-2921-41",1983,3
"0220-2946-41",1983,3
"0220-3003-41",1983,3
"0220-3023-41",1983,3
"0220-3077-41",1983,3
"0220-3147-41",1983,3
"0220-3179-41",1983,3
"0220-3262-41",1983,3
"0220-3329-41",2018,1
"0220-3419-41",1983,3
"0220-3432-41",1983,3
"0220-3441-41",1983,3
"0220-3489-41",1983,3
"0220-3577-41",1983,3
"0220-3593-41",1983,3
"0220-3611-41",1983,3
"0220-3629-41",1983,3
"0220-3665-41",1983,3
"0220-3681-43",2012,1
"0220-3936-41",1983,3
"0220-3976-41",1983,3
"0220-4000-41",1983,3
"0220-4004-41",1983,3
"0220-4022-41",1983,3
"0220-4122-41",1983,3
"0220-4130-41",1983,3
"0220-4134-41",1983,3
"0220-4163-41",1983,3
"0220-4178-41",1983,3
"0220-4190-41",1983,3
"0220-4309-41",1983,3
"0220-4317-41",1983,3
"0220-4337-41",1983,3
"0220-4377-41",1983,3
"0220-4393-41",1983,3
"0220-4435-41",1983,3
"0220-4443-41",1983,3
"0220-4502-41",1983,3
"0220-4510-41",1983,3
"0220-4546-41",1983,3
"0220-4550-41",1983,3
"0220-4562-41",1983,3
"0220-4578-41",1983,3
"0220-4614-41",1983,3
"0220-4622-41",1983,3
"0220-4646-41",1983,3
"0220-4664-41",1983,3
"0220-4710-41",1983,3
"0220-4726-41",1983,3
"0220-4743-41",1983,3
"0220-4759-41",1983,3
"0220-4771-41",1983,3
"0220-4823-41",1983,3
"0220-4837-41",1983,3
"0220-4857-41",1983,3
"0220-4916-41",1983,3
"0220-4941-41",1983,3
"0220-4953-41",1983,3
"0220-4998-41",1983,3
"0220-5016-41",1983,3
"0220-5146-41",1983,3
"0220-5160-41",1983,3
"0220-5217-41",1983,3
"0220-5233-41",1983,3
"0220-5282-41",1983,3
"0220-5307-41",1983,3
"0220-5343-41",1983,3
"0220-5465-41",1983,3
"0220-6413-41",1983,3
"0220-7309-41",1983,3
"0220-7604-41",1983,3
"0220-7609-41",1983,3
"0220-7796-41",1983,3
"0220-7935-41",1983,3
"0220-9000-54",2007,1
"0220-9000-59",2007,1
"0220-9000-65",2007,1
"0220-9000-66",2007,1
"0220-9004-04",1997,8
"0220-9013-51",2007,6
"0220-9015-61",2003,2
"0220-9021-60",2007,3
"0220-9021-63",2007,3
"0220-9021-68",2016,2
"0220-9023-51",2007,6
"0220-9032-28",1993,2
"0220-9033-28",1996,8
"0220-9042-79",2008,11
"0220-9044-04",2007,11
"0220-9045-09",2011,7
"0220-9046-41",2009,12
"0220-9047-78",2008,11
"0220-9048-04",1995,1
"0220-9049-42",2008,9
"0220-9050-75",2007,11
"0220-9054-07",2014,1
"0220-9054-08",2010,12
"0220-9054-09",2011,7
"0220-9054-10",2014,1
"0220-9054-46",2014,1
"0220-9057-07",2017,5
"0220-9057-09",2017,5
"0220-9059-04",2011,7
"0220-9061-42",2010,1
"0220-9062-15",2011,6
"0220-9063-15",2011,6
"0220-9063-16",2011,6
"0220-9067-28",2013,6
"0220-9068-28",2013,6
"0220-9070-29",2015,9
"0220-9075-67",2016,9
"0220-9078-04",1992,7
"0220-9081-04",2002,8
"0220-9084-54",2016,2
"0220-9086-51",2016,1
"0220-9131-31",2010,7
"0220-9131-33",2010,7
"0220-9131-34",2010,7
"0220-9134-04",1997,8
"0220-9214-43",2017,1
"0220-9228-43",2017,1
"0220-9277-72",1995,7
"0220-9277-76",1995,7
"0220-9280-33",1998,8
"0220-9280-34",1998,8
"0220-9280-36",1998,8
"0220-9281-31",2008,9
"0220-9281-32",2008,9
"0220-9281-33",2008,9
"0220-9313-04",1991,6
"0220-9314-04",2013,10
