"ndc","rxcui","in_rxcui","has_min","in_tty","in_name","in_synonym","in_umlscui","atc5"
"00002035102",NA,NA,NA,NA,NA,NA,NA,NA
"00002035302",NA,NA,NA,NA,NA,NA,NA,NA
"00002036302",NA,NA,NA,NA,NA,NA,NA,NA
"00002036303",NA,NA,NA,NA,NA,NA,NA,NA
"00002036333",NA,NA,NA,NA,NA,NA,NA,NA
"00002060440",NA,NA,NA,NA,NA,NA,NA,NA
"00002080302",NA,NA,NA,NA,NA,NA,NA,NA
"00002101002",NA,NA,NA,NA,NA,NA,NA,NA
"00002300475",NA,NA,NA,NA,NA,NA,NA,NA
"00002311102",NA,NA,NA,NA,NA,NA,NA,NA
"00002312542",NA,NA,NA,NA,NA,NA,NA,NA
"00002312642",NA,NA,NA,NA,NA,NA,NA,NA
"00002314530",NA,NA,NA,NA,NA,NA,NA,NA
"00002317030",NA,NA,NA,NA,NA,NA,NA,NA
"00002322730",NA,NA,NA,NA,NA,NA,NA,NA
"00002322830",NA,NA,NA,NA,NA,NA,NA,NA
"00002322930",NA,NA,NA,NA,NA,NA,NA,NA
"00002323130",NA,NA,NA,NA,NA,NA,NA,NA
"00002323133",NA,NA,NA,NA,NA,NA,NA,NA
"00002323230",NA,NA,NA,NA,NA,NA,NA,NA
"00002323233",NA,NA,NA,NA,NA,NA,NA,NA
"00002323330",NA,NA,NA,NA,NA,NA,NA,NA
"00002323333",NA,NA,NA,NA,NA,NA,NA,NA
"00002323430",NA,NA,NA,NA,NA,NA,NA,NA
"00002323433",NA,NA,NA,NA,NA,NA,NA,NA
"00002323560",NA,NA,NA,NA,NA,NA,NA,NA
"00002323704",NA,NA,NA,NA,NA,NA,NA,NA
"00002323730",NA,NA,NA,NA,NA,NA,NA,NA
"00002323733",NA,NA,NA,NA,NA,NA,NA,NA
"00002323830",NA,NA,NA,NA,NA,NA,NA,NA
"00002323930",NA,NA,NA,NA,NA,NA,NA,NA
"00002324030",NA,NA,NA,NA,NA,NA,NA,NA
"00002324033",NA,NA,NA,NA,NA,NA,NA,NA
"00002325130",NA,NA,NA,NA,NA,NA,NA,NA
"00002400602",NA,NA,NA,NA,NA,NA,NA,NA
"00002400630",NA,NA,NA,NA,NA,NA,NA,NA
"00002411204",NA,NA,NA,NA,NA,NA,NA,NA
