"RXCUI","NDC","YEAR","MONTH"
977874,"0054-0284-25",2010,9
313072,"0054-0379-50",2013,6
313072,"0054-0379-51",2013,6
313072,"0054-0379-55",2013,6
313072,"0054-0379-63",2013,6
311355,"0054-2526-25",1987,1
197889,"0054-2527-25",1980,11
197889,"0054-2527-31",1980,11
197893,"0054-2531-25",1987,1
310403,"0054-3270-99",2006,2
756059,"0054-3527-63",1980,12
197863,"0054-4496-13",1993,2
197863,"0054-4496-25",1993,2
197860,"0054-4497-05",1993,2
197860,"0054-4497-10",1993,2
197861,"0054-4498-10",1993,2
197862,"0054-4499-11",1993,2
197890,"0054-4527-25",1982,1
197890,"0054-4527-31",1982,1
197863,"0054-8496-19",1993,2
311355,"0054-8526-25",1987,1
197889,"0054-8527-25",1980,11
197890,"0054-8528-25",1982,6
197893,"0054-8531-25",1987,1
808785,"0065-0092-65",1972,9
707566,"0065-0429-15",2003,3
707566,"0065-0429-21",2004,2
707566,"0065-0429-30",2003,2
707566,"0065-0431-33",2015,10
895756,"0065-0454-07",2011,2
1996823,"0065-0481-01",2018,4
1996823,"0065-0481-10",2018,1
1996823,"0065-0481-11",2018,1
1996823,"0065-0481-55",2018,12
1549855,"0065-0530-01",1990,9
1549855,"0065-0530-04",1990,9
707566,"0065-1431-01",2014,10
707566,"0065-1431-05",2014,10
707566,"0065-1431-18",2014,10
707566,"0065-1431-21",2014,10
707566,"0065-1431-28",2014,10
707566,"0065-1431-31",2014,10
707566,"0065-1431-41",2014,10
707566,"0065-1431-80",2014,10
707566,"0065-1431-88",2016,3
707566,"0065-1432-04",2009,7
707566,"0065-1432-05",2009,7
707566,"0065-1432-06",2009,7
1041798,"0065-1433-02",2010,7
1041798,"0065-1433-07",2010,7
1098292,"0065-1433-11",2010,7
1989902,"0065-1502-10",2017,10
210273,"0067-0116-36",2012,1
210273,"0067-0116-60",2012,1
210295,"0067-0117-01",2012,1
210295,"0067-0117-18",2012,1
210295,"0067-0117-27",2012,1
