"RXCUI","NDC","YEAR","MONTH"
1011036,"36987-1503-1",1972,8
1011036,"36987-1503-2",1972,8
1011036,"36987-1503-3",1972,8
1011036,"36987-1503-4",1972,8
1011038,"36987-1504-1",1972,8
1011038,"36987-1504-2",1972,8
1011038,"36987-1504-3",1972,8
1011038,"36987-1504-4",1972,8
1011038,"36987-1505-1",1972,8
1011038,"36987-1505-2",1972,8
1011038,"36987-1505-3",1972,8
1011038,"36987-1505-4",1972,8
891671,"36987-1506-1",1972,8
891671,"36987-1506-2",1972,8
891671,"36987-1506-3",1972,8
891671,"36987-1506-4",1972,8
891671,"36987-1507-1",1972,8
891671,"36987-1507-2",1972,8
891671,"36987-1507-3",1972,8
891671,"36987-1507-4",1972,8
891675,"36987-1508-1",1972,8
891675,"36987-1508-2",1972,8
891675,"36987-1508-3",1972,8
891675,"36987-1508-4",1972,8
891675,"36987-1509-1",1972,8
891675,"36987-1509-2",1972,8
891675,"36987-1509-3",1972,8
891675,"36987-1509-4",1972,8
901320,"36987-1510-1",1972,8
901320,"36987-1510-2",1972,8
901320,"36987-1510-3",1972,8
901320,"36987-1510-4",1972,8
901320,"36987-1511-1",1972,8
901320,"36987-1511-2",1972,8
901320,"36987-1511-3",1972,8
901320,"36987-1511-4",1972,8
904456,"36987-1512-1",1972,8
904456,"36987-1512-2",1972,8
904456,"36987-1512-3",1972,8
904456,"36987-1512-4",1972,8
904456,"36987-1513-1",1972,8
904456,"36987-1513-2",1972,8
904456,"36987-1513-3",1972,8
904456,"36987-1513-4",1972,8
1010856,"36987-1514-1",1972,8
1010856,"36987-1514-2",1972,8
1010856,"36987-1514-3",1972,8
1010856,"36987-1514-4",1972,8
1010856,"36987-1515-1",1972,8
1010856,"36987-1515-2",1972,8
1010856,"36987-1515-3",1972,8
1010856,"36987-1515-4",1972,8
904626,"36987-1516-1",1972,8
904626,"36987-1516-2",1972,8
904626,"36987-1516-3",1972,8
904626,"36987-1516-4",1972,8
904626,"36987-1517-1",1972,8
904626,"36987-1517-2",1972,8
904626,"36987-1517-3",1972,8
904626,"36987-1517-4",1972,8
904479,"36987-1518-1",1972,8
904479,"36987-1518-2",1972,8
904479,"36987-1518-3",1972,8
904479,"36987-1518-4",1972,8
904479,"36987-1519-1",1972,8
904479,"36987-1519-2",1972,8
904479,"36987-1519-3",1972,8
904479,"36987-1519-4",1972,8
892502,"36987-1520-1",1972,8
892502,"36987-1520-2",1972,8
892502,"36987-1520-3",1972,8
892502,"36987-1520-4",1972,8
892502,"36987-1521-1",1972,8
892502,"36987-1521-2",1972,8
892502,"36987-1521-3",1972,8
892502,"36987-1521-4",1972,8
904487,"36987-1522-1",1972,8
904487,"36987-1522-2",1972,8
904487,"36987-1522-3",1972,8
904487,"36987-1522-4",1972,8
904487,"36987-1523-1",1972,8
904487,"36987-1523-2",1972,8
904487,"36987-1523-3",1972,8
904487,"36987-1523-4",1972,8
905530,"36987-1524-1",1972,8
905530,"36987-1524-2",1972,8
905530,"36987-1524-3",1972,8
905530,"36987-1524-4",1972,8
905530,"36987-1525-1",1972,8
905530,"36987-1525-2",1972,8
905530,"36987-1525-3",1972,8
905530,"36987-1525-4",1972,8
895573,"36987-1526-1",1972,8
895573,"36987-1526-2",1972,8
895573,"36987-1526-3",1972,8
895573,"36987-1526-4",1972,8
895573,"36987-1527-1",1972,8
895573,"36987-1527-2",1972,8
895573,"36987-1527-3",1972,8
895573,"36987-1527-4",1972,8
892510,"36987-1528-1",1972,8
892510,"36987-1528-2",1972,8
892510,"36987-1528-3",1972,8
892510,"36987-1528-4",1972,8
892510,"36987-1529-1",1972,8
892510,"36987-1529-2",1972,8
892510,"36987-1529-3",1972,8
892510,"36987-1529-4",1972,8
891517,"36987-1530-1",1972,8
891517,"36987-1530-2",1972,8
891517,"36987-1530-3",1972,8
891517,"36987-1530-4",1972,8
891517,"36987-1531-1",1972,8
891517,"36987-1531-2",1972,8
891517,"36987-1531-3",1972,8
891517,"36987-1531-4",1972,8
891657,"36987-1532-1",1972,8
891657,"36987-1532-2",1972,8
891657,"36987-1532-3",1972,8
891657,"36987-1532-4",1972,8
891657,"36987-1533-1",1972,8
891657,"36987-1533-2",1972,8
891657,"36987-1533-3",1972,8
891657,"36987-1533-4",1972,8
899757,"36987-1534-1",1972,8
899757,"36987-1534-2",1972,8
899757,"36987-1534-3",1972,8
899757,"36987-1534-4",1972,8
899757,"36987-1535-1",1972,8
899757,"36987-1535-2",1972,8
899757,"36987-1535-3",1972,8
899757,"36987-1535-4",1972,8
892529,"36987-1536-1",1972,8
892529,"36987-1536-2",1972,8
892529,"36987-1536-3",1972,8
892529,"36987-1536-4",1972,8
892529,"36987-1537-1",1972,8
892529,"36987-1537-2",1972,8
892529,"36987-1537-3",1972,8
892529,"36987-1537-4",1972,8
891614,"36987-1538-1",1972,8
891614,"36987-1538-2",1972,8
891614,"36987-1538-3",1972,8
891614,"36987-1538-4",1972,8
891614,"36987-1539-1",1972,8
891614,"36987-1539-2",1972,8
891614,"36987-1539-3",1972,8
891614,"36987-1539-4",1972,8
891628,"36987-1540-1",1972,8
891628,"36987-1540-2",1972,8
891628,"36987-1540-3",1972,8
891628,"36987-1540-4",1972,8
891628,"36987-1541-1",1972,8
891628,"36987-1541-2",1972,8
891628,"36987-1541-3",1972,8
891628,"36987-1541-4",1972,8
891690,"36987-1542-1",1972,8
891690,"36987-1542-2",1972,8
891690,"36987-1542-3",1972,8
891690,"36987-1542-4",1972,8
891690,"36987-1543-1",1972,8
891690,"36987-1543-2",1972,8
891690,"36987-1543-3",1972,8
891690,"36987-1543-4",1972,8
891694,"36987-1544-1",1972,8
891694,"36987-1544-2",1972,8
891694,"36987-1544-3",1972,8
891694,"36987-1544-4",1972,8
891694,"36987-1545-1",1972,8
891694,"36987-1545-2",1972,8
891694,"36987-1545-3",1972,8
891694,"36987-1545-4",1972,8
891636,"36987-1546-1",1972,8
891636,"36987-1546-2",1972,8
891636,"36987-1546-3",1972,8
891636,"36987-1546-4",1972,8
891636,"36987-1547-1",1972,8
891636,"36987-1547-2",1972,8
891636,"36987-1547-3",1972,8
891636,"36987-1547-4",1972,8
892558,"36987-1548-1",1972,8
892558,"36987-1548-2",1972,8
892558,"36987-1548-3",1972,8
892558,"36987-1548-4",1972,8
892558,"36987-1549-1",1972,8
892558,"36987-1549-2",1972,8
892558,"36987-1549-3",1972,8
892558,"36987-1549-4",1972,8
891661,"36987-1550-1",1972,8
891661,"36987-1550-2",1972,8
891661,"36987-1550-3",1972,8
891661,"36987-1550-4",1972,8
891661,"36987-1551-1",1972,8
891661,"36987-1551-2",1972,8
891661,"36987-1551-3",1972,8
891661,"36987-1551-4",1972,8
891663,"36987-1552-1",1972,8
891663,"36987-1552-2",1972,8
891663,"36987-1552-3",1972,8
891663,"36987-1552-4",1972,8
891663,"36987-1553-1",1972,8
891663,"36987-1553-2",1972,8
891663,"36987-1553-3",1972,8
891663,"36987-1553-4",1972,8
904651,"36987-1554-1",1972,8
904651,"36987-1554-2",1972,8
904651,"36987-1554-3",1972,8
904651,"36987-1554-4",1972,8
904651,"36987-1555-1",1972,8
904651,"36987-1555-2",1972,8
904651,"36987-1555-3",1972,8
904651,"36987-1555-4",1972,8
892335,"36987-1556-1",1972,8
892335,"36987-1556-2",1972,8
892335,"36987-1556-3",1972,8
892335,"36987-1556-4",1972,8
892335,"36987-1557-1",1972,8
892335,"36987-1557-2",1972,8
892335,"36987-1557-3",1972,8
892335,"36987-1557-4",1972,8
1010850,"36987-1558-1",1972,8
1010850,"36987-1558-2",1972,8
1010850,"36987-1558-3",1972,8
1010850,"36987-1558-4",1972,8
1010850,"36987-1559-1",1972,8
1010850,"36987-1559-2",1972,8
1010850,"36987-1559-3",1972,8
1010850,"36987-1559-4",1972,8
904609,"36987-1560-1",1972,8
904609,"36987-1560-2",1972,8
904609,"36987-1560-3",1972,8
904609,"36987-1560-4",1972,8
904609,"36987-1561-1",1972,8
904609,"36987-1561-2",1972,8
904609,"36987-1561-3",1972,8
904609,"36987-1561-4",1972,8
904862,"36987-1562-1",1972,8
904862,"36987-1562-2",1972,8
904862,"36987-1562-3",1972,8
904862,"36987-1562-4",1972,8
904862,"36987-1563-1",1972,8
904862,"36987-1563-2",1972,8
904862,"36987-1563-3",1972,8
904862,"36987-1563-4",1972,8
904798,"36987-1564-1",1972,8
904798,"36987-1564-2",1972,8
904798,"36987-1564-3",1972,8
904798,"36987-1564-4",1972,8
904798,"36987-1565-1",1972,8
904798,"36987-1565-2",1972,8
904798,"36987-1565-3",1972,8
904798,"36987-1565-4",1972,8
899397,"36987-1566-1",1972,8
899397,"36987-1566-2",1972,8
899397,"36987-1566-3",1972,8
899397,"36987-1566-4",1972,8
899397,"36987-1567-1",1972,8
899397,"36987-1567-2",1972,8
899397,"36987-1567-3",1972,8
899397,"36987-1567-4",1972,8
904800,"36987-1568-1",1972,8
904800,"36987-1568-2",1972,8
904800,"36987-1568-3",1972,8
904800,"36987-1568-4",1972,8
904800,"36987-1569-1",1972,8
904800,"36987-1569-2",1972,8
904800,"36987-1569-3",1972,8
904800,"36987-1569-4",1972,8
904868,"36987-1570-1",1972,8
904868,"36987-1570-2",1972,8
904868,"36987-1570-3",1972,8
904868,"36987-1570-4",1972,8
904868,"36987-1571-1",1972,8
904868,"36987-1571-2",1972,8
904868,"36987-1571-3",1972,8
904868,"36987-1571-4",1972,8
904822,"36987-1572-1",1972,8
904822,"36987-1572-2",1972,8
904822,"36987-1572-3",1972,8
904822,"36987-1572-4",1972,8
904822,"36987-1573-1",1972,8
904822,"36987-1573-2",1972,8
904822,"36987-1573-3",1972,8
904822,"36987-1573-4",1972,8
901340,"36987-1574-1",1972,8
901340,"36987-1574-2",1972,8
901340,"36987-1574-3",1972,8
901340,"36987-1574-4",1972,8
901340,"36987-1575-1",1972,8
901340,"36987-1575-2",1972,8
901340,"36987-1575-3",1972,8
901340,"36987-1575-4",1972,8
901342,"36987-1576-1",1972,8
901342,"36987-1576-2",1972,8
901342,"36987-1576-3",1972,8
901342,"36987-1576-4",1972,8
901342,"36987-1577-1",1972,8
901342,"36987-1577-2",1972,8
901342,"36987-1577-3",1972,8
901342,"36987-1577-4",1972,8
900050,"36987-1578-1",1972,8
900050,"36987-1578-2",1972,8
900050,"36987-1578-3",1972,8
900050,"36987-1578-4",1972,8
900050,"36987-1579-1",1972,8
900050,"36987-1579-2",1972,8
900050,"36987-1579-3",1972,8
900050,"36987-1579-4",1972,8
892641,"36987-1580-1",1972,8
892641,"36987-1580-2",1972,8
892641,"36987-1580-3",1972,8
892641,"36987-1580-4",1972,8
892641,"36987-1581-1",1972,8
892641,"36987-1581-2",1972,8
892641,"36987-1581-3",1972,8
892641,"36987-1581-4",1972,8
1000013,"36987-1582-1",1972,8
1000013,"36987-1582-2",1972,8
1000013,"36987-1582-3",1972,8
1000013,"36987-1582-4",1972,8
1000013,"36987-1583-1",1972,8
1000013,"36987-1583-2",1972,8
1000013,"36987-1583-3",1972,8
1000013,"36987-1583-4",1972,8
901302,"36987-1584-1",1972,8
901302,"36987-1584-2",1972,8
901302,"36987-1584-3",1972,8
901302,"36987-1584-4",1972,8
901302,"36987-1585-1",1972,8
901302,"36987-1585-2",1972,8
901302,"36987-1585-3",1972,8
901302,"36987-1585-4",1972,8
1011069,"36987-1586-1",1972,8
1011069,"36987-1586-2",1972,8
1011069,"36987-1586-3",1972,8
1011069,"36987-1586-4",1972,8
1011069,"36987-1587-1",1972,8
1011069,"36987-1587-2",1972,8
1011069,"36987-1587-3",1972,8
1011069,"36987-1587-4",1972,8
1011071,"36987-1588-1",1972,8
1011071,"36987-1588-2",1972,8
1011071,"36987-1588-3",1972,8
1011071,"36987-1588-4",1972,8
1011071,"36987-1589-1",1972,8
1011071,"36987-1589-2",1972,8
1011071,"36987-1589-3",1972,8
1011071,"36987-1589-4",1972,8
1011002,"36987-1590-1",1972,8
1011002,"36987-1590-2",1972,8
1011002,"36987-1590-3",1972,8
1011002,"36987-1590-4",1972,8
1011002,"36987-1591-1",1972,8
1011002,"36987-1591-2",1972,8
1011002,"36987-1591-3",1972,8
1011002,"36987-1591-4",1972,8
1011004,"36987-1592-1",1972,8
1011004,"36987-1592-2",1972,8
1011004,"36987-1592-3",1972,8
1011004,"36987-1592-4",1972,8
1011004,"36987-1593-1",1972,8
1011004,"36987-1593-2",1972,8
1011004,"36987-1593-3",1972,8
1011004,"36987-1593-4",1972,8
1011407,"36987-1594-1",1972,8
1011407,"36987-1594-2",1972,8
1011407,"36987-1594-3",1972,8
1011407,"36987-1594-4",1972,8
1011407,"36987-1595-1",1972,8
1011407,"36987-1595-2",1972,8
1011407,"36987-1595-3",1972,8
1011407,"36987-1595-4",1972,8
1011409,"36987-1596-1",1972,8
1011409,"36987-1596-2",1972,8
1011409,"36987-1596-3",1972,8
1011409,"36987-1596-4",1972,8
1011409,"36987-1597-1",1972,8
1011409,"36987-1597-2",1972,8
1011409,"36987-1597-3",1972,8
1011409,"36987-1597-4",1972,8
1012055,"36987-1598-1",1972,8
1012055,"36987-1598-2",1972,8
1012055,"36987-1598-3",1972,8
1012055,"36987-1598-4",1972,8
1012055,"36987-1599-1",1972,8
1012055,"36987-1599-2",1972,8
1012055,"36987-1599-3",1972,8
1012055,"36987-1599-4",1972,8
1011429,"36987-1600-1",1972,8
1011429,"36987-1600-2",1972,8
1011429,"36987-1600-3",1972,8
1011429,"36987-1600-4",1972,8
1011429,"36987-1601-1",1972,8
1011429,"36987-1601-2",1972,8
1011429,"36987-1601-3",1972,8
1011429,"36987-1601-4",1972,8
1010935,"36987-1602-1",1972,8
1010935,"36987-1602-2",1972,8
1010935,"36987-1602-3",1972,8
1010935,"36987-1602-4",1972,8
1010935,"36987-1603-1",1972,8
1010935,"36987-1603-2",1972,8
1010935,"36987-1603-3",1972,8
1010935,"36987-1603-4",1972,8
1010940,"36987-1604-1",1972,8
1010940,"36987-1604-2",1972,8
1010940,"36987-1604-3",1972,8
1010940,"36987-1604-4",1972,8
1010940,"36987-1605-1",1972,8
1010940,"36987-1605-2",1972,8
1010940,"36987-1605-3",1972,8
1010940,"36987-1605-4",1972,8
1011024,"36987-1606-1",1972,8
1011024,"36987-1606-2",1972,8
1011024,"36987-1606-3",1972,8
1011024,"36987-1606-4",1972,8
1011024,"36987-1607-1",1972,8
1011024,"36987-1607-2",1972,8
1011024,"36987-1607-3",1972,8
1011024,"36987-1607-4",1972,8
1011040,"36987-1608-1",1972,8
1011040,"36987-1608-2",1972,8
1011040,"36987-1608-3",1972,8
1011040,"36987-1608-4",1972,8
1011040,"36987-1609-1",1972,8
1011040,"36987-1609-2",1972,8
1011040,"36987-1609-3",1972,8
1011040,"36987-1609-4",1972,8
1011030,"36987-1610-1",1972,8
1011030,"36987-1610-2",1972,8
1011030,"36987-1610-3",1972,8
1011030,"36987-1610-4",1972,8
1011030,"36987-1611-1",1972,8
1011030,"36987-1611-2",1972,8
1011030,"36987-1611-3",1972,8
1011030,"36987-1611-4",1972,8
1011032,"36987-1612-1",1972,8
1011032,"36987-1612-2",1972,8
1011032,"36987-1612-3",1972,8
1011032,"36987-1612-4",1972,8
1011032,"36987-1613-1",1972,8
1011032,"36987-1613-2",1972,8
1011032,"36987-1613-3",1972,8
1011032,"36987-1613-4",1972,8
1011052,"36987-1614-1",1972,8
1011052,"36987-1614-2",1972,8
1011052,"36987-1614-3",1972,8
1011052,"36987-1614-4",1972,8
1011052,"36987-1615-1",1972,8
1011052,"36987-1615-2",1972,8
1011052,"36987-1615-3",1972,8
1011052,"36987-1615-4",1972,8
1011054,"36987-1616-1",1972,8
1011054,"36987-1616-2",1972,8
1011054,"36987-1616-3",1972,8
1011054,"36987-1616-4",1972,8
1011054,"36987-1617-1",1972,8
1011054,"36987-1617-2",1972,8
1011054,"36987-1617-3",1972,8
1011054,"36987-1617-4",1972,8
899493,"36987-1618-1",1972,8
899493,"36987-1618-2",1972,8
899493,"36987-1618-3",1972,8
899493,"36987-1618-4",1972,8
899493,"36987-1619-1",1972,8
899493,"36987-1619-2",1972,8
899493,"36987-1619-3",1972,8
899493,"36987-1619-4",1972,8
1010891,"36987-1620-1",1972,8
1010891,"36987-1620-2",1972,8
1010891,"36987-1620-3",1972,8
1010891,"36987-1620-4",1972,8
1010891,"36987-1621-1",1972,8
1010891,"36987-1621-2",1972,8
1010891,"36987-1621-3",1972,8
1010891,"36987-1621-4",1972,8
1011421,"36987-1622-1",1972,8
1011421,"36987-1622-2",1972,8
1011421,"36987-1622-3",1972,8
1011421,"36987-1622-4",1972,8
1011421,"36987-1623-1",1972,8
1011421,"36987-1623-2",1972,8
1011421,"36987-1623-3",1972,8
1011421,"36987-1623-4",1972,8
1011423,"36987-1624-1",1972,8
1011423,"36987-1624-2",1972,8
1011423,"36987-1624-3",1972,8
1011423,"36987-1624-4",1972,8
1011423,"36987-1625-1",1972,8
1011423,"36987-1625-2",1972,8
1011423,"36987-1625-3",1972,8
1011423,"36987-1625-4",1972,8
899733,"36987-1626-1",1972,8
899733,"36987-1626-2",1972,8
899733,"36987-1626-3",1972,8
899733,"36987-1626-4",1972,8
899733,"36987-1627-1",1972,8
899733,"36987-1627-2",1972,8
899733,"36987-1627-3",1972,8
899733,"36987-1627-4",1972,8
892550,"36987-1628-1",1972,8
892550,"36987-1628-2",1972,8
892550,"36987-1628-3",1972,8
892550,"36987-1628-4",1972,8
892550,"36987-1629-1",1972,8
892550,"36987-1629-2",1972,8
892550,"36987-1629-3",1972,8
892550,"36987-1629-4",1972,8
1010918,"36987-1630-1",1972,8
1010918,"36987-1630-2",1972,8
1010918,"36987-1630-3",1972,8
1010918,"36987-1630-4",1972,8
1010918,"36987-1631-1",1972,8
1010918,"36987-1631-2",1972,8
1010918,"36987-1631-3",1972,8
1010918,"36987-1631-4",1972,8
1010922,"36987-1632-1",1972,8
1010922,"36987-1632-2",1972,8
1010922,"36987-1632-3",1972,8
1010922,"36987-1632-4",1972,8
1010922,"36987-1633-1",1972,8
1010922,"36987-1633-2",1972,8
1010922,"36987-1633-3",1972,8
1010922,"36987-1633-4",1972,8
891505,"36987-1634-1",1972,8
891505,"36987-1634-2",1972,8
891505,"36987-1634-3",1972,8
891505,"36987-1634-4",1972,8
891505,"36987-1635-1",1972,8
891505,"36987-1635-2",1972,8
891505,"36987-1635-3",1972,8
891505,"36987-1635-4",1972,8
1006347,"36987-1636-1",1972,8
1006347,"36987-1636-2",1972,8
1006347,"36987-1636-3",1972,8
1006347,"36987-1636-4",1972,8
1006347,"36987-1637-1",1972,8
1006347,"36987-1637-2",1972,8
1006347,"36987-1637-3",1972,8
1006347,"36987-1637-4",1972,8
905304,"36987-1638-1",1972,8
905304,"36987-1638-2",1972,8
905304,"36987-1638-3",1972,8
905304,"36987-1638-4",1972,8
905308,"36987-1640-1",1972,8
905308,"36987-1640-2",1972,8
905308,"36987-1640-3",1972,8
905308,"36987-1640-4",1972,8
904557,"36987-1642-1",1972,8
904557,"36987-1642-2",1972,8
904557,"36987-1642-3",1972,8
904557,"36987-1642-4",1972,8
904573,"36987-1644-1",1972,8
904573,"36987-1644-2",1972,8
904573,"36987-1644-3",1972,8
904573,"36987-1644-4",1972,8
1232634,"36987-1646-1",1972,8
1232634,"36987-1646-2",1972,8
1232634,"36987-1646-3",1972,8
1232634,"36987-1646-4",1972,8
1232636,"36987-1648-1",1972,8
1232636,"36987-1648-2",1972,8
1232636,"36987-1648-3",1972,8
1232636,"36987-1648-4",1972,8
1006513,"36987-1650-1",1972,8
1006513,"36987-1650-2",1972,8
1006513,"36987-1650-3",1972,8
1006513,"36987-1650-4",1972,8
1006513,"36987-1651-1",1972,8
1006513,"36987-1651-2",1972,8
1006513,"36987-1651-3",1972,8
1006513,"36987-1651-4",1972,8
1011425,"36987-1652-1",1972,8
1011425,"36987-1652-2",1972,8
1011425,"36987-1652-3",1972,8
1011425,"36987-1652-4",1972,8
1011425,"36987-1653-1",1972,8
1011425,"36987-1653-2",1972,8
1011425,"36987-1653-3",1972,8
1011425,"36987-1653-4",1972,8
966699,"36987-1654-1",1972,8
966699,"36987-1654-2",1972,8
966699,"36987-1654-3",1972,8
966699,"36987-1654-4",1972,8
966699,"36987-1655-1",1972,8
966699,"36987-1655-2",1972,8
966699,"36987-1655-3",1972,8
966699,"36987-1655-4",1972,8
966701,"36987-1656-1",1972,8
966701,"36987-1656-2",1972,8
966701,"36987-1656-3",1972,8
966701,"36987-1656-4",1972,8
966701,"36987-1657-1",1972,8
966701,"36987-1657-2",1972,8
966701,"36987-1657-3",1972,8
966701,"36987-1657-4",1972,8
967985,"36987-1658-1",1972,8
967985,"36987-1658-2",1972,8
967985,"36987-1658-3",1972,8
967985,"36987-1658-4",1972,8
967985,"36987-1659-1",1972,8
967985,"36987-1659-2",1972,8
967985,"36987-1659-3",1972,8
967985,"36987-1659-4",1972,8
892682,"36987-1660-1",1972,8
892682,"36987-1660-2",1972,8
892682,"36987-1660-3",1972,8
892682,"36987-1660-4",1972,8
892682,"36987-1661-1",1972,8
892682,"36987-1661-2",1972,8
892682,"36987-1661-3",1972,8
892682,"36987-1661-4",1972,8
895555,"36987-1662-1",1972,8
895555,"36987-1662-2",1972,8
895555,"36987-1662-3",1972,8
895555,"36987-1662-4",1972,8
895555,"36987-1663-1",1972,8
895555,"36987-1663-2",1972,8
895555,"36987-1663-3",1972,8
895555,"36987-1663-4",1972,8
895558,"36987-1664-1",1972,8
895558,"36987-1664-2",1972,8
895558,"36987-1664-3",1972,8
895558,"36987-1664-4",1972,8
895558,"36987-1665-1",1972,8
895558,"36987-1665-2",1972,8
895558,"36987-1665-3",1972,8
895558,"36987-1665-4",1972,8
1010882,"36987-1666-1",1972,8
1010882,"36987-1666-2",1972,8
1010882,"36987-1666-3",1972,8
1010882,"36987-1666-4",1972,8
1010882,"36987-1667-1",1972,8
1010882,"36987-1667-2",1972,8
1010882,"36987-1667-3",1972,8
1010882,"36987-1667-4",1972,8
1010885,"36987-1668-1",1972,8
1010885,"36987-1668-2",1972,8
1010885,"36987-1668-3",1972,8
1010885,"36987-1668-4",1972,8
1010885,"36987-1669-1",1972,8
1010885,"36987-1669-2",1972,8
1010885,"36987-1669-3",1972,8
1010885,"36987-1669-4",1972,8
899640,"36987-1670-1",1972,8
899640,"36987-1670-2",1972,8
899640,"36987-1670-3",1972,8
899640,"36987-1670-4",1972,8
899640,"36987-1671-1",1972,8
899640,"36987-1671-2",1972,8
899640,"36987-1671-3",1972,8
899640,"36987-1671-4",1972,8
1010894,"36987-1672-1",1972,8
1010894,"36987-1672-2",1972,8
1010894,"36987-1672-3",1972,8
1010894,"36987-1672-4",1972,8
1010894,"36987-1673-1",1972,8
1010894,"36987-1673-2",1972,8
1010894,"36987-1673-3",1972,8
1010894,"36987-1673-4",1972,8
899676,"36987-1674-1",1972,8
899676,"36987-1674-2",1972,8
899676,"36987-1674-3",1972,8
899676,"36987-1674-4",1972,8
899676,"36987-1675-1",1972,8
899676,"36987-1675-2",1972,8
899676,"36987-1675-3",1972,8
899676,"36987-1675-4",1972,8
904636,"36987-1676-1",1972,8
904636,"36987-1676-2",1972,8
904636,"36987-1676-3",1972,8
904636,"36987-1676-4",1972,8
904636,"36987-1677-1",1972,8
904636,"36987-1677-2",1972,8
904636,"36987-1677-3",1972,8
904636,"36987-1677-4",1972,8
899727,"36987-1678-1",1972,8
899727,"36987-1678-2",1972,8
899727,"36987-1678-3",1972,8
899727,"36987-1678-4",1972,8
899727,"36987-1679-1",1972,8
899727,"36987-1679-2",1972,8
899727,"36987-1679-3",1972,8
899727,"36987-1679-4",1972,8
1010952,"36987-1680-1",1972,8
1010952,"36987-1680-2",1972,8
1010952,"36987-1680-3",1972,8
1010952,"36987-1680-4",1972,8
1010952,"36987-1681-1",1972,8
1010952,"36987-1681-2",1972,8
1010952,"36987-1681-3",1972,8
1010952,"36987-1681-4",1972,8
905501,"36987-1686-1",1972,8
905501,"36987-1686-2",1972,8
905501,"36987-1686-3",1972,8
905501,"36987-1686-4",1972,8
905501,"36987-1687-1",1972,8
905501,"36987-1687-2",1972,8
905501,"36987-1687-3",1972,8
905501,"36987-1687-4",1972,8
905503,"36987-1688-1",1972,8
905503,"36987-1688-2",1972,8
905503,"36987-1688-3",1972,8
905503,"36987-1688-4",1972,8
905503,"36987-1689-1",1972,8
905503,"36987-1689-2",1972,8
905503,"36987-1689-3",1972,8
905503,"36987-1689-4",1972,8
899417,"36987-1690-1",1972,8
899417,"36987-1690-2",1972,8
899417,"36987-1690-3",1972,8
899417,"36987-1690-4",1972,8
899417,"36987-1691-1",1972,8
899417,"36987-1691-2",1972,8
899417,"36987-1691-3",1972,8
899417,"36987-1691-4",1972,8
899419,"36987-1692-1",1972,8
899419,"36987-1692-2",1972,8
899419,"36987-1692-3",1972,8
899419,"36987-1692-4",1972,8
899419,"36987-1693-1",1972,8
899419,"36987-1693-2",1972,8
899419,"36987-1693-3",1972,8
899419,"36987-1693-4",1972,8
899423,"36987-1694-1",1972,8
899423,"36987-1694-2",1972,8
899423,"36987-1694-3",1972,8
899423,"36987-1694-4",1972,8
899423,"36987-1695-1",1972,8
899423,"36987-1695-2",1972,8
899423,"36987-1695-3",1972,8
899423,"36987-1695-4",1972,8
1010710,"36987-1696-1",1972,8
1010710,"36987-1696-2",1972,8
1010710,"36987-1696-3",1972,8
1010710,"36987-1696-4",1972,8
1010710,"36987-1697-1",1972,8
1010710,"36987-1697-2",1972,8
1010710,"36987-1697-3",1972,8
1010710,"36987-1697-4",1972,8
1011046,"36987-1698-1",1972,8
1011046,"36987-1698-2",1972,8
1011046,"36987-1698-3",1972,8
1011046,"36987-1698-4",1972,8
1011046,"36987-1699-1",1972,8
1011046,"36987-1699-2",1972,8
1011046,"36987-1699-3",1972,8
1011046,"36987-1699-4",1972,8
1011048,"36987-1700-1",1972,8
1011048,"36987-1700-2",1972,8
1011048,"36987-1700-3",1972,8
1011048,"36987-1700-4",1972,8
1011048,"36987-1701-1",1972,8
1011048,"36987-1701-2",1972,8
1011048,"36987-1701-3",1972,8
1011048,"36987-1701-4",1972,8
1010957,"36987-1702-1",1972,8
1010957,"36987-1702-2",1972,8
1010957,"36987-1702-3",1972,8
1010957,"36987-1702-4",1972,8
1010957,"36987-1703-1",1972,8
1010957,"36987-1703-2",1972,8
1010957,"36987-1703-3",1972,8
1010957,"36987-1703-4",1972,8
1010960,"36987-1704-1",1972,8
1010960,"36987-1704-2",1972,8
1010960,"36987-1704-3",1972,8
1010960,"36987-1704-4",1972,8
1010960,"36987-1705-1",1972,8
1010960,"36987-1705-2",1972,8
1010960,"36987-1705-3",1972,8
1010960,"36987-1705-4",1972,8
899459,"36987-1706-1",1972,8
899459,"36987-1706-2",1972,8
899459,"36987-1706-3",1972,8
899459,"36987-1706-4",1972,8
899459,"36987-1707-1",1972,8
899459,"36987-1707-2",1972,8
899459,"36987-1707-3",1972,8
899459,"36987-1707-4",1972,8
904824,"36987-1708-1",1972,8
904824,"36987-1708-2",1972,8
904824,"36987-1708-3",1972,8
904824,"36987-1708-4",1972,8
904824,"36987-1709-1",1972,8
904824,"36987-1709-2",1972,8
904824,"36987-1709-3",1972,8
904824,"36987-1709-4",1972,8
891655,"36987-1710-1",1972,8
891655,"36987-1710-2",1972,8
891655,"36987-1710-3",1972,8
891655,"36987-1710-4",1972,8
891655,"36987-1711-1",1972,8
891655,"36987-1711-2",1972,8
891655,"36987-1711-3",1972,8
891655,"36987-1711-4",1972,8
1010848,"36987-1712-1",1972,8
1010848,"36987-1712-2",1972,8
1010848,"36987-1712-3",1972,8
1010848,"36987-1712-4",1972,8
1010848,"36987-1713-1",1972,8
1010848,"36987-1713-2",1972,8
1010848,"36987-1713-3",1972,8
