"NDC","YEAR","MONTH"
"0006-0227-61",2007,10
"0006-0266-18",1998,6
"0006-0267-18",1998,6
"0006-0270-21",2005,4
"0006-0270-44",2005,4
"0006-0277-02",2006,10
"0006-0277-14",2012,10
"0006-0277-28",2006,10
"0006-0277-31",2006,10
"0006-0277-33",2006,10
"0006-0277-54",2006,10
"0006-0277-82",2006,10
"0006-0325-13",2014,8
"0006-0325-30",2014,8
"0006-0335-13",2014,8
"0006-0335-30",2014,8
"0006-0351-05",2014,5
"0006-0351-31",2014,5
"0006-0351-48",2014,5
"0006-0351-54",2014,5
"0006-0461-02",2003,3
"0006-0461-06",2003,3
"0006-0461-12",2003,3
"0006-0462-06",2003,3
"0006-0464-05",2003,3
"0006-0464-10",2003,3
"0006-0473-61",2011,12
"0006-0477-61",2011,12
"0006-0543-31",1991,12
"0006-0543-54",1991,12
"0006-0568-40",2006,10
"0006-0571-43",1996,3
"0006-0573-62",1996,3
"0006-0575-03",2007,3
"0006-0575-56",2007,3
"0006-0575-61",2007,3
"0006-0575-62",2007,3
"0006-0575-82",2007,3
"0006-0577-03",2007,3
"0006-0577-56",2007,3
"0006-0577-61",2007,3
"0006-0577-62",2007,3
"0006-0577-82",2007,3
"0006-0710-44",2005,4
"0006-0717-31",1995,4
"0006-0717-54",1995,4
"0006-0717-82",1995,4
"0006-0726-31",1991,12
"0006-0735-31",1991,12
"0006-0735-54",1991,12
"0006-0740-31",1991,12
"0006-0740-54",1991,12
"0006-0745-31",1995,4
"0006-0745-54",1995,4
"0006-0745-82",1995,4
"0006-0747-31",1995,4
"0006-0747-54",1995,4
"0006-0749-31",1991,12
"0006-0749-54",1991,12
"0006-0951-54",1995,4
"0006-0952-31",1995,4
"0006-0952-54",1995,4
"0006-0960-31",1995,4
"0006-0960-54",1995,4
"0006-1711-31",1998,2
"0006-3025-00",2016,10
"0006-3026-02",2015,1
"0006-3029-02",2014,9
"0006-3061-00",2017,2
"0006-3066-03",2015,12
"0006-3074-02",2016,1
"0006-3075-02",2017,11
"0006-3075-04",2017,11
"0006-3076-02",2017,11
"0006-3076-04",2017,11
"0006-3080-01",2017,5
"0006-3516-59",1985,11
"0006-3519-36",1994,12
"0006-3603-60",2013,12
"0006-3603-61",2017,11
"0006-3800-18",1998,6
"0006-3801-18",1998,6
"0006-3822-10",2001,1
"0006-3823-10",2001,1
"0006-3841-14",2002,7
"0006-3841-30",2002,7
"0006-3843-71",2001,11
"0006-3845-71",2001,11
"0006-3862-03",2003,3
"0006-3862-13",2003,3
"0006-3915-68",1975,5
"0006-3916-68",1975,5
"0006-3917-68",1975,5
"0006-3918-68",1991,5
"0006-3919-68",1991,5
"0006-3941-32",2010,11
"0006-4045-00",2006,6
"0006-4045-41",2006,6
"0006-4047-20",2006,2
"0006-4047-41",2006,2
"0006-4093-02",1986,7
"0006-4093-09",1986,7
"0006-4094-02",1986,7
"0006-4094-09",1986,7
"0006-4095-02",1996,3
"0006-4095-09",1996,3
"0006-4096-02",1996,3
"0006-4096-09",1996,3
"0006-4109-02",2006,6
"0006-4109-09",2006,6
"0006-4119-02",2014,12
"0006-4119-03",2014,12
"0006-4121-02",2014,12
"0006-4171-00",2015,7
"0006-4229-02",2014,4
"0006-4229-30",2014,4
"0006-4305-02",2017,7
"0006-4309-00",2006,5
"0006-4681-00",1971,4
"0006-4739-00",1983,7
"0006-4826-00",1995,3
"0006-4827-00",1995,3
"0006-4831-41",1996,3
"0006-4837-02",2014,7
"0006-4841-00",1996,3
"0006-4841-41",1996,3
"0006-4897-00",1989,12
"0006-4943-00",1983,7
